0 saláta
0 csoki
1 Az
0 epersaláta
1 élet
0 csóka
0 csipa
1 végső
2 retek
1 értéke
2 csicsóka
1 a
3 megszabadító
3 tudatosság
1 tudatosságon
7 A
4 megbízható
1 és
4 Portisch Lajos
3 Fazekas Mihály
1 a
4 libatepertő
7 legnagyobb
1 szemlélődés
5 csokinyúl
5 kancsal
1 erején
4 legelő
1 múlik,
7 teljesítmények
5 porhintés
5 zselé
1 nem
8 feltét
1 pedig
7 egy
9 politika
7 részét
9 törzsek
1 a
8 csapvíz
7 olyan
9 óceán
1 puszta
7 emberek
10 languszta
7 valósították
1 túlélésen.
10 csirke
7 meg,
8 kedd
7 akik
8 csúzli
9 müzli
7 nem
8 róka
7 voltak
8 medve
8 bocs
7 elég
8 lábszag
7 okosak
10 patány
7 ahhoz,
8 galandférek
7 hogy
8 retek
7 tudják:
9 csurran
9 cseppen
7 lehetetlenre
10 lanovka
7 vállalkoznak.
